p,rbo_a_max,rbo_a_min,rbo_a_ext,rbo_low_max,rbo_low_min,rbo_low_ext,rbo_hig_max,rbo_hig_min,rbo_hig_ext,rbo_avg_max,rbo_avg_min,rbo_avg_ext,sys1,sys2,topic
0.8,0.147321955125743,0.147320733112801,0.147321955125743,0.147321955125743,0.147320733112801,0.147321955125743,0.147321955125743,0.147320733112801,0.147321955125743,0.147321955125743,0.147320733112803,0.147321955125743,webisWt14axAll,webisWt14axMax,251
0.9,0.279894323164359,0.279122995140227,0.279894323164359,0.279894323164359,0.279122995140227,0.279894323164359,0.279894323164359,0.279122995140227,0.279894323164359,0.279894323164359,0.279122995140227,0.279894323164359,webisWt14axAll,webisWt14axMax,251
0.95,0.458629796637709,0.43990708892911,0.458629796637709,0.458629796637709,0.43990708892911,0.458629796637709,0.458629796637709,0.43990708892911,0.458629796637709,0.458629796637709,0.43990708892911,0.458629796637709,webisWt14axAll,webisWt14axMax,251
0.8,0.441746943655486,0.441745721642543,0.441746943655486,0.441746943655486,0.441745721642543,0.441746943655486,0.441746943655486,0.441745721642543,0.441746943655486,0.441746943655486,0.441745721642547,0.441746943655486,webisWt14axAll,webisWt14axMax,252
0.9,0.370094331658194,0.369323003634062,0.370094331658194,0.370094331658194,0.369323003634062,0.370094331658194,0.370094331658194,0.369323003634062,0.370094331658194,0.370094331658194,0.369323003634062,0.370094331658194,webisWt14axAll,webisWt14axMax,252
0.95,0.428250842637967,0.409528134929369,0.428250842637967,0.428250842637967,0.409528134929369,0.428250842637967,0.428250842637967,0.409528134929369,0.428250842637967,0.428250842637967,0.409528134929369,0.428250842637967,webisWt14axAll,webisWt14axMax,252
0.8,0.698623625720493,0.69862240370755,0.698623625720493,0.698623625720493,0.69862240370755,0.698623625720493,0.698623625720493,0.69862240370755,0.698623625720493,0.698623625720493,0.698622403707553,0.698623625720493,webisWt14axAll,webisWt14axMax,253
0.9,0.737792390862037,0.737021062837905,0.737792390862037,0.737792390862037,0.737021062837905,0.737792390862037,0.737792390862037,0.737021062837905,0.737792390862037,0.737792390862037,0.737021062837905,0.737792390862037,webisWt14axAll,webisWt14axMax,253
0.95,0.80726170602191,0.788538998313312,0.80726170602191,0.80726170602191,0.788538998313312,0.80726170602191,0.80726170602191,0.788538998313312,0.80726170602191,0.80726170602191,0.788538998313312,0.80726170602191,webisWt14axAll,webisWt14axMax,253
0.8,0.0339651330255158,0.0339639110125732,0.0339651330255158,0.0339651330255158,0.0339639110125732,0.0339651330255158,0.0339651330255158,0.0339639110125732,0.0339651330255158,0.0339651330255158,0.0339639110125773,0.0339651330255158,webisWt14axAll,webisWt14axMax,254
0.9,0.130450853116963,0.129679525092831,0.130450853116963,0.130450853116963,0.129679525092831,0.130450853116963,0.130450853116963,0.129679525092831,0.130450853116963,0.130450853116963,0.129679525092832,0.130450853116963,webisWt14axAll,webisWt14axMax,254
0.95,0.315990722519585,0.297268014810986,0.315990722519585,0.315990722519585,0.297268014810986,0.315990722519585,0.315990722519585,0.297268014810986,0.315990722519585,0.315990722519585,0.297268014810986,0.315990722519585,webisWt14axAll,webisWt14axMax,254
0.8,0.156976693754882,0.156975471741939,0.156976693754882,0.156976693754882,0.156975471741939,0.156976693754882,0.156976693754882,0.156975471741939,0.156976693754882,0.156976693754882,0.156975471741941,0.156976693754882,webisWt14axAll,webisWt14axMax,255
0.9,0.305823573511585,0.305052245487453,0.305823573511585,0.305823573511585,0.305052245487453,0.305823573511585,0.305823573511585,0.305052245487453,0.305823573511585,0.305823573511585,0.305052245487453,0.305823573511585,webisWt14axAll,webisWt14axMax,255
0.95,0.487249161521084,0.468526453812485,0.487249161521084,0.487249161521084,0.468526453812485,0.487249161521084,0.487249161521084,0.468526453812485,0.487249161521084,0.487249161521084,0.468526453812485,0.487249161521083,webisWt14axAll,webisWt14axMax,255
0.8,0.765778514969671,0.765777292956729,0.765778514969671,0.765778514969671,0.765777292956729,0.765778514969671,0.765778514969671,0.765777292956729,0.765778514969671,0.765778514969671,0.765777292956731,0.765778514969671,webisWt14axAll,webisWt14axMax,256
0.9,0.69148288760329,0.690711559579158,0.69148288760329,0.69148288760329,0.690711559579158,0.69148288760329,0.69148288760329,0.690711559579158,0.69148288760329,0.69148288760329,0.690711559579158,0.691482887603289,webisWt14axAll,webisWt14axMax,256
0.95,0.723352146816429,0.70462943910783,0.723352146816429,0.723352146816429,0.70462943910783,0.723352146816429,0.723352146816429,0.70462943910783,0.723352146816429,0.723352146816429,0.70462943910783,0.723352146816429,webisWt14axAll,webisWt14axMax,256
0.8,0.327792003662446,0.327790781649504,0.327792003662446,0.327792003662446,0.327790781649504,0.327792003662446,0.327792003662446,0.327790781649504,0.327792003662446,0.327792003662446,0.327790781649508,0.327792003662446,webisWt14axAll,webisWt14axMax,257
0.9,0.435978267025377,0.435206939001246,0.435978267025377,0.435978267025377,0.435206939001246,0.435978267025377,0.435978267025377,0.435206939001246,0.435978267025377,0.435978267025377,0.435206939001246,0.435978267025377,webisWt14axAll,webisWt14axMax,257
